# generated by tools/gen_corpus.py from spec/data/corpus.txt
# reference: CPython inflection 0.5.1
# columns: word	underscore	camelize	camelize_lower	dasherize	humanize	pluralize	singularize	tableize	titleize	parameterize	transliterate
ALLOW_MISSING	allow_missing	ALLOWMISSING	aLLOWMISSING	ALLOW-MISSING	Allow missing	ALLOW_MISSINGs	ALLOW_MISSING	allow_missings	Allow Missing	allow_missing	ALLOW_MISSING
ALLOW_UNDER_SCORES	allow_under_scores	ALLOWUNDERSCORES	aLLOWUNDERSCORES	ALLOW-UNDER-SCORES	Allow under scores	ALLOW_UNDER_SCOREs	ALLOW_UNDER_SCORE	allow_under_scores	Allow Under Scores	allow_under_scores	ALLOW_UNDER_SCORES
ALUMNUS	alumnus	ALUMNUS	aLUMNUS	ALUMNUS	Alumnus	ALUMNUs	ALUMNU	alumnus	Alumnus	alumnus	ALUMNUS
ANALYSES	analyses	ANALYSES	aNALYSES	ANALYSES	Analyses	ANALYSEs	Analysis	analyses	Analyses	analyses	ANALYSES
ANALYSIS	analysis	ANALYSIS	aNALYSIS	ANALYSIS	Analysis	ANALYses	Analysis	analyses	Analysis	analysis	ANALYSIS
ANA_ÍNDIA	ana_índia	ANAÍNDIA	aNAÍNDIA	ANA-ÍNDIA	Ana Índia	ANA_ÍNDIa	ANA_ÍNDIum	ana_índia	Ana Índia	ana_india	ANA_INDIA
ANDROID_API_LEVEL	android_api_level	ANDROIDAPILEVEL	aNDROIDAPILEVEL	ANDROID-API-LEVEL	Android api level	ANDROID_API_LEVELs	ANDROID_API_LEVEL	android_api_levels	Android Api Level	android_api_level	ANDROID_API_LEVEL
APPENDIX	appendix	APPENDIX	aPPENDIX	APPENDIX	Appendix	APPENDIXes	APPENDIX	appendixes	Appendix	appendix	APPENDIX
APPLICATIONCONTROLLER	applicationcontroller	APPLICATIONCONTROLLER	aPPLICATIONCONTROLLER	APPLICATIONCONTROLLER	Applicationcontroller	APPLICATIONCONTROLLERs	APPLICATIONCONTROLLER	applicationcontrollers	Applicationcontroller	applicationcontroller	APPLICATIONCONTROLLER
APPLICATION_CONTROLLER	application_controller	APPLICATIONCONTROLLER	aPPLICATIONCONTROLLER	APPLICATION-CONTROLLER	Application controller	APPLICATION_CONTROLLERs	APPLICATION_CONTROLLER	application_controllers	Application Controller	application_controller	APPLICATION_CONTROLLER
ARCHFLAGS	archflags	ARCHFLAGS	aRCHFLAGS	ARCHFLAGS	Archflags	ARCHFLAGs	ARCHFLAG	archflags	Archflags	archflags	ARCHFLAGS
ARCHIVE	archive	ARCHIVE	aRCHIVE	ARCHIVE	Archive	ARCHIVEs	ARCHIVE	archives	Archive	archive	ARCHIVE
ARCHIVES	archives	ARCHIVES	aRCHIVES	ARCHIVES	Archives	ARCHIVEs	ARCHIVE	archives	Archives	archives	ARCHIVES
AREA51	area51	AREA51	aREA51	AREA51	Area51	AREA51s	AREA51	area51s	Area51	area51	AREA51
AREA51CONTROLLER	area51_controller	AREA51CONTROLLER	aREA51CONTROLLER	AREA51CONTROLLER	Area51controller	AREA51CONTROLLERs	AREA51CONTROLLER	area51_controllers	Area51 Controller	area51controller	AREA51CONTROLLER
AREA51_CONTROLLER	area51_controller	AREA51CONTROLLER	aREA51CONTROLLER	AREA51-CONTROLLER	Area51 controller	AREA51_CONTROLLERs	AREA51_CONTROLLER	area51_controllers	Area51 Controller	area51_controller	AREA51_CONTROLLER
ARGS	args	ARGS	aRGS	ARGS	Args	ARGs	ARG	args	Args	args	ARGS
ARISING	arising	ARISING	aRISING	ARISING	Arising	ARISINGs	ARISING	arisings	Arising	arising	ARISING
ARITH	arith	ARITH	aRITH	ARITH	Arith	ARITHs	ARITH	ariths	Arith	arith	ARITH
ASSLAR	asslar	ASSLAR	aSSLAR	ASSLAR	Asslar	ASSLARs	ASSLAR	asslars	Asslar	asslar	ASSLAR
AT_SYMLINK_NOFOLLOW	at_symlink_nofollow	ATSYMLINKNOFOLLOW	aTSYMLINKNOFOLLOW	AT-SYMLINK-NOFOLLOW	At symlink nofollow	AT_SYMLINK_NOFOLLOWs	AT_SYMLINK_NOFOLLOW	at_symlink_nofollows	At Symlink Nofollow	at_symlink_nofollow	AT_SYMLINK_NOFOLLOW
AUTHOR	author	AUTHOR	aUTHOR	AUTHOR	Author	AUTHORs	AUTHOR	authors	Author	author	AUTHOR
AUTHOR_ID	author_id	AUTHORID	aUTHORID	AUTHOR-ID	Author id	AUTHOR_IDs	AUTHOR_ID	author_ids	Author	author_id	AUTHOR_ID
AXES	axes	AXES	aXES	AXES	Axes	AXEs	Axis	axes	Axes	axes	AXES
AXIS	axis	AXIS	aXIS	AXIS	Axis	AXes	Axis	axes	Axis	axis	AXIS
Ab	ab	Ab	ab	Ab	Ab	Abs	Ab	abs	Ab	ab	Ab
Abcd	abcd	Abcd	abcd	Abcd	Abcd	Abcds	Abcd	abcds	Abcd	abcd	Abcd
Abilities	abilities	Abilities	abilities	Abilities	Abilities	Abilities	Ability	abilities	Abilities	abilities	Abilities
Ability	ability	Ability	ability	Ability	Ability	Abilities	Ability	abilities	Ability	ability	Ability
Accepts	accepts	Accepts	accepts	Accepts	Accepts	Accepts	Accept	accepts	Accepts	accepts	Accepts
Action Web Service	action web service	Action Web Service	action Web Service	Action Web Service	Action web service	Action Web Services	Action Web Service	action web services	Action Web Service	action-web-service	Action Web Service
Action web service	action web service	Action web service	action web service	Action web service	Action web service	Action web services	Action web service	action web services	Action Web Service	action-web-service	Action web service
Action_Web_Service	action_web_service	ActionWebService	actionWebService	Action-Web-Service	Action web service	Action_Web_Services	Action_Web_Service	action_web_services	Action Web Service	action_web_service	Action_Web_Service
Action_web_service	action_web_service	ActionWebService	actionWebService	Action-web-service	Action web service	Action_web_services	Action_web_service	action_web_services	Action Web Service	action_web_service	Action_web_service
Actionwebservice	actionwebservice	Actionwebservice	actionwebservice	Actionwebservice	Actionwebservice	Actionwebservices	Actionwebservice	actionwebservices	Actionwebservice	actionwebservice	Actionwebservice
Active Record	active record	Active Record	active Record	Active Record	Active record	Active Records	Active Record	active records	Active Record	active-record	Active Record
Active record	active record	Active record	active record	Active record	Active record	Active records	Active record	active records	Active Record	active-record	Active record
ActiveRecord	active_record	ActiveRecord	activeRecord	ActiveRecord	Activerecord	ActiveRecords	ActiveRecord	active_records	Active Record	activerecord	ActiveRecord
Active_Record	active_record	ActiveRecord	activeRecord	Active-Record	Active record	Active_Records	Active_Record	active_records	Active Record	active_record	Active_Record
Active_record	active_record	ActiveRecord	activeRecord	Active-record	Active record	Active_records	Active_record	active_records	Active Record	active_record	Active_record
Activerecord	activerecord	Activerecord	activerecord	Activerecord	Activerecord	Activerecords	Activerecord	activerecords	Activerecord	activerecord	Activerecord
Add	add	Add	add	Add	Add	Adds	Add	adds	Add	add	Add
Added	added	Added	added	Added	Added	Addeds	Added	addeds	Added	added	Added
Additional	additional	Additional	additional	Additional	Additional	Additionals	Additional	additionals	Additional	additional	Additional
Address	address	Address	address	Address	Address	Addresses	Address	addresses	Address	address	Address
Addresses	addresses	Addresses	addresses	Addresses	Addresses	Addresses	Address	addresses	Addresses	addresses	Addresses
Advance	advance	Advance	advance	Advance	Advance	Advances	Advance	advances	Advance	advance	Advance
Afrikaans	afrikaans	Afrikaans	afrikaans	Afrikaans	Afrikaans	Afrikaans	Afrikaan	afrikaans	Afrikaans	afrikaans	Afrikaans
Again	again	Again	again	Again	Again	Agains	Again	agains	Again	again	Again
Agencies	agencies	Agencies	agencies	Agencies	Agencies	Agencies	Agency	agencies	Agencies	agencies	Agencies
Agency	agency	Agency	agency	Agency	Agency	Agencies	Agency	agencies	Agency	agency	Agency
Alar	alar	Alar	alar	Alar	Alar	Alars	Alar	alars	Alar	alar	Alar
Alas	alas	Alas	alas	Alas	Alas	Alas	Ala	alas	Alas	alas	Alas
Algeria	algeria	Algeria	algeria	Algeria	Algeria	Algeria	Algerium	algeria	Algeria	algeria	Algeria
Alias	alias	Alias	alias	Alias	Alias	Aliases	Alias	aliases	Alias	alias	Alias
Aliases	aliases	Aliases	aliases	Aliases	Aliases	Aliases	Alias	aliases	Aliases	aliases	Aliases
Allow_Under_Scores	allow_under_scores	AllowUnderScores	allowUnderScores	Allow-Under-Scores	Allow under scores	Allow_Under_Scores	Allow_Under_Score	allow_under_scores	Allow Under Scores	allow_under_scores	Allow_Under_Scores
Allow_under_scores	allow_under_scores	AllowUnderScores	allowUnderScores	Allow-under-scores	Allow under scores	Allow_under_scores	Allow_under_score	allow_under_scores	Allow Under Scores	allow_under_scores	Allow_under_scores
Allows	allows	Allows	allows	Allows	Allows	Allows	Allow	allows	Allows	allows	Allows
Altered	altered	Altered	altered	Altered	Altered	Altereds	Altered	altereds	Altered	altered	Altered
Alternate	alternate	Alternate	alternate	Alternate	Alternate	Alternates	Alternate	alternates	Alternate	alternate	Alternate
Alters	alters	Alters	alters	Alters	Alters	Alters	Alter	alters	Alters	alters	Alters
Alumnus	alumnus	Alumnus	alumnus	Alumnus	Alumnus	Alumnus	Alumnu	alumnus	Alumnus	alumnus	Alumnus
AmbiguousOptionError	ambiguous_option_error	AmbiguousOptionError	ambiguousOptionError	AmbiguousOptionError	Ambiguousoptionerror	AmbiguousOptionErrors	AmbiguousOptionError	ambiguous_option_errors	Ambiguous Option Error	ambiguousoptionerror	AmbiguousOptionError
America	america	America	america	America	America	Americas	America	americas	America	america	America
An	an	An	an	An	An	Ans	An	ans	An	an	An
Ana_Índia	ana_índia	AnaÍndia	anaÍndia	Ana-Índia	Ana Índia	Ana_Índia	Ana_Índium	ana_índia	Ana Índia	ana_india	Ana_India
Ana_índia	ana_índia	AnaÍndia	anaÍndia	Ana-índia	Ana índia	Ana_índia	Ana_índium	ana_índia	Ana Índia	ana_india	Ana_india
Analyses	analyses	Analyses	analyses	Analyses	Analyses	Analyses	Analysis	analyses	Analyses	analyses	Analyses
Analysis	analysis	Analysis	analysis	Analysis	Analysis	Analyses	Analysis	analyses	Analysis	analysis	Analysis
AndroidVer	android_ver	AndroidVer	androidVer	AndroidVer	Androidver	AndroidVers	AndroidVer	android_vers	Android Ver	androidver	AndroidVer
Annotated	annotated	Annotated	annotated	Annotated	Annotated	Annotateds	Annotated	annotateds	Annotated	annotated	Annotated
Appendix	appendix	Appendix	appendix	Appendix	Appendix	Appendixes	Appendix	appendixes	Appendix	appendix	Appendix
ApplicationController	application_controller	ApplicationController	applicationController	ApplicationController	Applicationcontroller	ApplicationControllers	ApplicationController	application_controllers	Application Controller	applicationcontroller	ApplicationController
Application_Controller	application_controller	ApplicationController	applicationController	Application-Controller	Application controller	Application_Controllers	Application_Controller	application_controllers	Application Controller	application_controller	Application_Controller
Application_controller	application_controller	ApplicationController	applicationController	Application-controller	Application controller	Application_controllers	Application_controller	application_controllers	Application Controller	application_controller	Application_controller
Applicationcontroller	applicationcontroller	Applicationcontroller	applicationcontroller	Applicationcontroller	Applicationcontroller	Applicationcontrollers	Applicationcontroller	applicationcontrollers	Applicationcontroller	applicationcontroller	Applicationcontroller
Applications	applications	Applications	applications	Applications	Applications	Applications	Application	applications	Applications	applications	Applications
Apr	apr	Apr	apr	Apr	Apr	Aprs	Apr	aprs	Apr	apr	Apr
Arabic	arabic	Arabic	arabic	Arabic	Arabic	Arabics	Arabic	arabics	Arabic	arabic	Arabic
Architecture	architecture	Architecture	architecture	Architecture	Architecture	Architectures	Architecture	architectures	Architecture	architecture	Architecture
Archive	archive	Archive	archive	Archive	Archive	Archives	Archive	archives	Archive	archive	Archive
Archives	archives	Archives	archives	Archives	Archives	Archives	Archive	archives	Archives	archives	Archives
Area51	area51	Area51	area51	Area51	Area51	Area51s	Area51	area51s	Area51	area51	Area51
Area51Controller	area51_controller	Area51Controller	area51Controller	Area51Controller	Area51controller	Area51Controllers	Area51Controller	area51_controllers	Area51 Controller	area51controller	Area51Controller
Area51_Controller	area51_controller	Area51Controller	area51Controller	Area51-Controller	Area51 controller	Area51_Controllers	Area51_Controller	area51_controllers	Area51 Controller	area51_controller	Area51_Controller
Area51_controller	area51_controller	Area51Controller	area51Controller	Area51-controller	Area51 controller	Area51_controllers	Area51_controller	area51_controllers	Area51 Controller	area51_controller	Area51_controller
Area51controller	area51controller	Area51controller	area51controller	Area51controller	Area51controller	Area51controllers	Area51controller	area51controllers	Area51Controller	area51controller	Area51controller
ArgumentTypeErrors	argument_type_errors	ArgumentTypeErrors	argumentTypeErrors	ArgumentTypeErrors	Argumenttypeerrors	ArgumentTypeErrors	ArgumentTypeError	argument_type_errors	Argument Type Errors	argumenttypeerrors	ArgumentTypeErrors
Arguments	arguments	Arguments	arguments	Arguments	Arguments	Arguments	Argument	arguments	Arguments	arguments	Arguments
Array	array	Array	array	Array	Array	Arrays	Array	arrays	Array	array	Array
AsyncGenerator	async_generator	AsyncGenerator	asyncGenerator	AsyncGenerator	Asyncgenerator	AsyncGenerators	AsyncGenerator	async_generators	Async Generator	asyncgenerator	AsyncGenerator
Attempt	attempt	Attempt	attempt	Attempt	Attempt	Attempts	Attempt	attempts	Attempt	attempt	Attempt
Author	author	Author	author	Author	Author	Authors	Author	authors	Author	author	Author
Author_Id	author_id	AuthorId	authorId	Author-Id	Author id	Author_Ids	Author_Id	author_ids	Author	author_id	Author_Id
Author_id	author_id	AuthorId	authorId	Author-id	Author	Author_ids	Author_id	author_ids	Author	author_id	Author_id
Axes	axes	Axes	axes	Axes	Axes	Axes	Axis	axes	Axes	axes	Axes
Axis	axis	Axis	axis	Axis	Axis	Axes	Axis	axes	Axis	axis	Axis
Aßlar	aßlar	Aßlar	aßlar	Aßlar	Aßlar	Aßlars	Aßlar	aßlars	Aßlar	alar	Alar
BACKGROUND_BLACK	background_black	BACKGROUNDBLACK	bACKGROUNDBLACK	BACKGROUND-BLACK	Background black	BACKGROUND_BLACKs	BACKGROUND_BLACK	background_blacks	Background Black	background_black	BACKGROUND_BLACK
BACKGROUND_CYAN	background_cyan	BACKGROUNDCYAN	bACKGROUNDCYAN	BACKGROUND-CYAN	Background cyan	BACKGROUND_CYANs	BACKGROUND_CYAN	background_cyans	Background Cyan	background_cyan	BACKGROUND_CYAN
BAD	bad	BAD	bAD	BAD	Bad	BADs	BAD	bads	Bad	bad	BAD
BAD_CERTIFICATE	bad_certificate	BADCERTIFICATE	bADCERTIFICATE	BAD-CERTIFICATE	Bad certificate	BAD_CERTIFICATEs	BAD_CERTIFICATE	bad_certificates	Bad Certificate	bad_certificate	BAD_CERTIFICATE
BAR	bar	BAR	bAR	BAR	Bar	BARs	BAR	bars	Bar	bar	BAR
BASES	bases	BASES	bASES	BASES	Bases	BASEs	Basis	bases	Bases	bases	BASES
BASICMETHODS	basicmethods	BASICMETHODS	bASICMETHODS	BASICMETHODS	Basicmethods	BASICMETHODs	BASICMETHOD	basicmethods	Basicmethods	basicmethods	BASICMETHODS
BASIS	basis	BASIS	bASIS	BASIS	Basis	BAses	Basis	bases	Basis	basis	BASIS
BAZ	baz	BAZ	bAZ	BAZ	Baz	BAZs	BAZ	bazs	Baz	baz	BAZ
BEFORE	before	BEFORE	bEFORE	BEFORE	Before	BEFOREs	BEFORE	befores	Before	before	BEFORE
BE_MAGIC	be_magic	BEMAGIC	bEMAGIC	BE-MAGIC	Be magic	BE_MAGICs	BE_MAGIC	be_magics	Be Magic	be_magic	BE_MAGIC
BINARY_OP_ADD_INT	binary_op_add_int	BINARYOPADDINT	bINARYOPADDINT	BINARY-OP-ADD-INT	Binary op add int	BINARY_OP_ADD_INTs	BINARY_OP_ADD_INT	binary_op_add_ints	Binary Op Add Int	binary_op_add_int	BINARY_OP_ADD_INT
BINARY_OP_ADD_UNICODE	binary_op_add_unicode	BINARYOPADDUNICODE	bINARYOPADDUNICODE	BINARY-OP-ADD-UNICODE	Binary op add unicode	BINARY_OP_ADD_UNICODEs	BINARY_OP_ADD_UNICODE	binary_op_add_unicodes	Binary Op Add Unicode	binary_op_add_unicode	BINARY_OP_ADD_UNICODE
BLDLIBRARY	bldlibrary	BLDLIBRARY	bLDLIBRARY	BLDLIBRARY	Bldlibrary	BLDLIBRARies	BLDLIBRARY	bldlibraries	Bldlibrary	bldlibrary	BLDLIBRARY
BOLD_RED	bold_red	BOLDRED	bOLDRED	BOLD-RED	Bold red	BOLD_REDs	BOLD_RED	bold_reds	Bold Red	bold_red	BOLD_RED
BOLD_YELLOW	bold_yellow	BOLDYELLOW	bOLDYELLOW	BOLD-YELLOW	Bold yellow	BOLD_YELLOWs	BOLD_YELLOW	bold_yellows	Bold Yellow	bold_yellow	BOLD_YELLOW
BOX	box	BOX	bOX	BOX	Box	BOXes	BOX	boxes	Box	box	BOX
BOXES	boxes	BOXES	bOXES	BOXES	Boxes	BOXEs	BOX	boxes	Boxes	boxes	BOXES
BSD	bsd	BSD	bSD	BSD	Bsd	BSDs	BSD	bsds	Bsd	bsd	BSD
BUFFALO	buffalo	BUFFALO	bUFFALO	BUFFALO	Buffalo	BUFFALoes	BUFFALO	buffaloes	Buffalo	buffalo	BUFFALO
BUFFALOES	buffaloes	BUFFALOES	bUFFALOES	BUFFALOES	Buffaloes	BUFFALOEs	BUFFALO	buffaloes	Buffaloes	buffaloes	BUFFALOES
BUFSIZE	bufsize	BUFSIZE	bUFSIZE	BUFSIZE	Bufsize	BUFSIZEs	BUFSIZE	bufsizes	Bufsize	bufsize	BUFSIZE
BUILDEXE	buildexe	BUILDEXE	bUILDEXE	BUILDEXE	Buildexe	BUILDEXEs	BUILDEXE	buildexes	Buildexe	buildexe	BUILDEXE
BUS	bus	BUS	bUS	BUS	Bus	BUses	BUS	buses	Bus	bus	BUS
BUSES	buses	BUSES	bUSES	BUSES	Buses	BUSEs	BUS	buses	Buses	buses	BUSES
BXOR	bxor	BXOR	bXOR	BXOR	Bxor	BXORs	BXOR	bxors	Bxor	bxor	BXOR
BYTELIM	bytelim	BYTELIM	bYTELIM	BYTELIM	Bytelim	BYTELIMs	BYTELIM	bytelims	Bytelim	bytelim	BYTELIM
Babyl-specific	babyl_specific	Babyl-specific	babyl-specific	Babyl-specific	Babyl-specific	Babyl-specifics	Babyl-specific	babyl_specifics	Babyl Specific	babyl-specific	Babyl-specific
Bad	bad	Bad	bad	Bad	Bad	Bads	Bad	bads	Bad	bad	Bad
Bar	bar	Bar	bar	Bar	Bar	Bars	Bar	bars	Bar	bar	Bar
Base	base	Base	base	Base	Base	Bases	Base	bases	Base	base	Base
BaseFilter	base_filter	BaseFilter	baseFilter	BaseFilter	Basefilter	BaseFilters	BaseFilter	base_filters	Base Filter	basefilter	BaseFilter
Based	based	Based	based	Based	Based	Baseds	Based	baseds	Based	based	Based
Bases	bases	Bases	bases	Bases	Bases	Bases	Basis	bases	Bases	bases	Bases
Basis	basis	Basis	basis	Basis	Basis	Bases	Basis	bases	Basis	basis	Basis
Baz	baz	Baz	baz	Baz	Baz	Bazs	Baz	bazs	Baz	baz	Baz
Before	before	Before	before	Before	Before	Befores	Before	befores	Before	before	Before
Below	below	Below	below	Below	Below	Belows	Below	belows	Below	below	Below
Beware	beware	Beware	beware	Beware	Beware	Bewares	Beware	bewares	Beware	beware	Beware
Bits	bits	Bits	bits	Bits	Bits	Bits	Bit	bits	Bits	bits	Bits
BoundArguments	bound_arguments	BoundArguments	boundArguments	BoundArguments	Boundarguments	BoundArguments	BoundArgument	bound_arguments	Bound Arguments	boundarguments	BoundArguments
Box	box	Box	box	Box	Box	Boxes	Box	boxes	Box	box	Box
Boxes	boxes	Boxes	boxes	Boxes	Boxes	Boxes	Box	boxes	Boxes	boxes	Boxes
Brandl	brandl	Brandl	brandl	Brandl	Brandl	Brandls	Brandl	brandls	Brandl	brandl	Brandl
BsdDbShelf	bsd_db_shelf	BsdDbShelf	bsdDbShelf	BsdDbShelf	Bsddbshelf	BsdDbShelves	BsdDbShelf	bsd_db_shelves	Bsd Db Shelf	bsddbshelf	BsdDbShelf
Buffalo	buffalo	Buffalo	buffalo	Buffalo	Buffalo	Buffaloes	Buffalo	buffaloes	Buffalo	buffalo	Buffalo
Buffaloes	buffaloes	Buffaloes	buffaloes	Buffaloes	Buffaloes	Buffaloes	Buffalo	buffaloes	Buffaloes	buffaloes	Buffaloes
Building	building	Building	building	Building	Building	Buildings	Building	buildings	Building	building	Building
BuiltinMethodType	builtin_method_type	BuiltinMethodType	builtinMethodType	BuiltinMethodType	Builtinmethodtype	BuiltinMethodTypes	BuiltinMethodType	builtin_method_types	Builtin Method Type	builtinmethodtype	BuiltinMethodType
Bus	bus	Bus	bus	Bus	Bus	Buses	Bus	buses	Bus	bus	Bus
Buses	buses	Buses	buses	Buses	Buses	Buses	Bus	buses	Buses	buses	Buses
But	but	But	but	But	But	Buts	But	buts	But	but	But
Button	button	Button	button	Button	Button	Buttons	Button	buttons	Button	button	Button
By	by	By	by	By	By	Bies	By	bies	By	by	By
CACTUS	cactus	CACTUS	cACTUS	CACTUS	Cactus	CACTUs	CACTU	cactus	Cactus	cactus	CACTUS
CAFÉ	café	CAFÉ	cAFÉ	CAFÉ	CafÉ	CAFÉs	CAFÉ	cafés	Café	cafe	CAFE
CAFÉ_AU_LAIT	café_au_lait	CAFÉAULAIT	cAFÉAULAIT	CAFÉ-AU-LAIT	CafÉ au lait	CAFÉ_AU_LAITs	CAFÉ_AU_LAIT	café_au_laits	Café Au Lait	cafe_au_lait	CAFE_AU_LAIT
CALF	calf	CALF	cALF	CALF	Calf	CALves	CALF	calves	Calf	calf	CALF
CAMEL	camel	CAMEL	cAMEL	CAMEL	Camel	CAMELs	CAMEL	camels	Camel	camel	CAMEL
CAMELCASE	camelcase	CAMELCASE	cAMELCASE	CAMELCASE	Camelcase	CAMELCASEs	CAMELCASE	camelcases	Camelcase	camelcase	CAMELCASE
